case,implementation,threads,rep,time_us,seed
1,serial,1,0,5973,12345
1,serial,1,1,5640,12345
1,serial,1,2,5708,12345
1,serial,1,3,6220,12345
1,serial,1,4,5464,12345
1,serial,1,5,5964,12345
1,serial,1,6,5495,12345
1,serial,1,7,5578,12345
1,serial,1,8,6174,12345
1,serial,1,9,5667,12345
1,mutex,1,0,5950,12345
1,mutex,1,1,6078,12345
1,mutex,1,2,5963,12345
1,mutex,1,3,6470,12345
1,mutex,1,4,5759,12345
1,mutex,1,5,5942,12345
1,mutex,1,6,6085,12345
1,mutex,1,7,5998,12345
1,mutex,1,8,6306,12345
1,mutex,1,9,5745,12345
1,rwlock,1,0,5760,12345
1,rwlock,1,1,6258,12345
1,rwlock,1,2,5986,12345
1,rwlock,1,3,6759,12345
1,rwlock,1,4,5905,12345
1,rwlock,1,5,7237,12345
1,rwlock,1,6,5887,12345
1,rwlock,1,7,5946,12345
1,rwlock,1,8,6271,12345
1,rwlock,1,9,5748,12345
1,mutex,2,0,13913,12345
1,mutex,2,1,18905,12345
1,mutex,2,2,16793,12345
1,mutex,2,3,16593,12345
1,mutex,2,4,14481,12345
1,mutex,2,5,17804,12345
1,mutex,2,6,16785,12345
1,mutex,2,7,17627,12345
1,mutex,2,8,17015,12345
1,mutex,2,9,15236,12345
1,rwlock,2,0,5558,12345
1,rwlock,2,1,5586,12345
1,rwlock,2,2,6076,12345
1,rwlock,2,3,6085,12345
1,rwlock,2,4,5429,12345
1,rwlock,2,5,6027,12345
1,rwlock,2,6,5414,12345
1,rwlock,2,7,6010,12345
1,rwlock,2,8,5780,12345
1,rwlock,2,9,5552,12345
1,mutex,4,0,20278,12345
1,mutex,4,1,21397,12345
1,mutex,4,2,19759,12345
1,mutex,4,3,22407,12345
1,mutex,4,4,20923,12345
1,mutex,4,5,20547,12345
1,mutex,4,6,20937,12345
1,mutex,4,7,20414,12345
1,mutex,4,8,20860,12345
1,mutex,4,9,20603,12345
1,rwlock,4,0,7181,12345
1,rwlock,4,1,7020,12345
1,rwlock,4,2,7380,12345
1,rwlock,4,3,7094,12345
1,rwlock,4,4,7361,12345
1,rwlock,4,5,6785,12345
1,rwlock,4,6,7147,12345
1,rwlock,4,7,7032,12345
1,rwlock,4,8,6849,12345
1,rwlock,4,9,7164,12345
1,mutex,8,0,21176,12345
1,mutex,8,1,21020,12345
1,mutex,8,2,21269,12345
1,mutex,8,3,21002,12345
1,mutex,8,4,20488,12345
1,mutex,8,5,20315,12345
1,mutex,8,6,20088,12345
1,mutex,8,7,20943,12345
1,mutex,8,8,21023,12345
1,mutex,8,9,20369,12345
1,rwlock,8,0,7578,12345
1,rwlock,8,1,7198,12345
1,rwlock,8,2,7882,12345
1,rwlock,8,3,7314,12345
1,rwlock,8,4,7561,12345
1,rwlock,8,5,7264,12345
1,rwlock,8,6,7313,12345
1,rwlock,8,7,7376,12345
1,rwlock,8,8,7512,12345
1,rwlock,8,9,7016,12345
2,serial,1,0,8115,12345
2,serial,1,1,7817,12345
2,serial,1,2,7671,12345
